dtxsid,refchem_agonist,refchem_antagonist,auc_agonist,er_class,chemical,ESR1_pmi,ESR2_pmi,ESRRA_pmi,ESRRB_pmi,ESRRG_pmi,ESR1_coc,ESR2_coc,ESRRA_coc,ESRRB_coc,ESRRG_coc,n_chem
DTXSID4022527,,,0.205,1.0,Propylparaben,0.18650217817222303,0.19062992843505436,0.0,0.0,0.0,33,4,0,0,0,1295
DTXSID6023868,,,0.2,1.0,"N-[1,5-bis[4-(trifluoromethyl)phenyl]penta-1,4-dien-3-ylideneamino]-5,5-dimethyl-4,6-dihydro-1H-pyrimidin-2-amine",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
DTXSID3021770,,,0.19,1.0,Tetrachlorobisphenol A,0.2474208553116444,0.0,0.0,0.0,0.408956764007406,7,0,0,0,1,83
DTXSID8024523,,,0.183,1.0,Androstenedione,0.2199462415078469,0.21498613136873573,0.0,0.09907298521216898,0.0,139,16,0,2,0,4789
DTXSID3020205,very weak,inactive,0.179,1.0,Benzyl butyl phthalate,0.1938951163690577,0.13053789775317465,0.0,0.0,0.0,21,1,0,0,0,684
DTXSID2045232,,,0.179,1.0,Tiratricol,0.07357140126960632,0.0,0.0,0.0,0.0,1,0,0,0,0,137
DTXSID0022436,,,0.174,1.0,Diphenolic acid,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,29
DTXSID1020770,weak,,0.174,1.0,Chlordecone,0.27909564487907945,0.1968071814706737,0.0,0.0,0.0,22,1,0,0,0,224
DTXSID7022332,,,0.163,1.0,4-sec-Butylphenol,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,13
DTXSID1020221,,,0.161,1.0,4-tert-Butylphenol,0.17368441458581507,0.0,0.0,0.0,0.3437382066437592,7,0,0,0,1,249
DTXSID4048195,,,0.161,1.0,4-Hexyloxyphenol,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5
DTXSID8034324,,,0.156,1.0,N-diethoxyphosphinothioyloxybenzenecarboximidoyl cyanide,0.13833034731682908,0.0,0.0,0.0,0.0,4,0,0,0,0,223
DTXSID5048184,,,0.155,1.0,Melengestrol acetate,0.07357140126960632,0.0,0.0,0.0,0.0,1,0,0,0,0,137
DTXSID1027633,,,0.149,1.0,"Pentaerythritol tetrakis(3-(3,5-di-tert-butyl-4-hydroxyphenyl)propionate)",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,85
DTXSID3021984,,,0.149,1.0,Dodecylamine,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,436
DTXSID3032549,,,0.148,1.0,Fenhexamid,0.10850574882999044,0.0,0.0,0.0,0.0,2,0,0,0,0,164
DTXSID5021209,,,0.144,1.0,Propylthiouracil,-0.02014176588306284,0.0,0.0,0.0,0.0,3,0,0,0,0,1949
DTXSID6020511,,,0.143,1.0,"3,3'-Dimethylbenzidine dihydrochloride",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
DTXSID7041889,,,0.142,1.0,Diphenyl phosphite,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,57
DTXSID1020069,,,0.142,1.0,o-Aminoazotoluene,-0.012792006357757145,0.0,0.0,0.0,0.0,3,0,0,0,0,1736
DTXSID1029170,,,0.14,1.0,Mesityl oxide,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,54
DTXSID5024059,,,0.139,1.0,"3,3'-Dimethylbenzidine",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,56
DTXSID0022353,,,0.138,1.0,2-Chloro-4-biphenylol,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
DTXSID6024888,,,0.135,1.0,Cyclophosphamide monohydrate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,33
DTXSID8023216,,,0.135,1.0,Liothyronine,0.07729988197906654,0.08589718381417873,0.0,0.06480206588789081,0.0,48,5,0,2,0,8330
DTXSID1022396,very weak,inactive,0.134,1.0,Chrysin,0.09148903303938544,0.0,0.22003682663581128,0.0,0.0,12,0,1,0,0,1526
DTXSID9022312,,,0.118,1.0,4-Octylphenol,0.28093938300836546,0.20946066420492915,0.0,0.0,0.0,19,1,0,0,0,181
DTXSID4021135,,,0.117,1.0,Sudan I,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,251
DTXSID9026265,,,0.115,1.0,Tris(2-ethylhexyl) trimellitate,0.16676397296985154,0.0,0.0,0.0,0.0,2,0,0,0,0,64
DTXSID2037714,,,0.113,1.0,4-Heptylphenol,0.19405811283281757,0.0,0.0,0.0,0.0,1,0,0,0,0,18
DTXSID3047425,,,0.111,1.0,4-Butylphenol,0.24195271806680504,0.0,0.0,0.0,0.0,2,0,0,0,0,19
DTXSID2032390,very weak,,0.105,1.0,Fenarimol,0.15741849534774352,0.0,0.0,0.0,0.0,3,0,0,0,0,119
DTXSID5022489,,,0.101,1.0,Cinnamic acid,0.009724303417020824,0.04550623891732561,0.0,0.0,0.0,7,1,0,0,0,2865
DTXSID4021218,,,0.101,1.0,Quercetin,0.1145625369987918,0.09280485292209718,0.11459920795424725,0.012085571322106765,0.0,159,12,2,2,0,19518
DTXSID6027345,,,0.101,1.0,Triphenylborane,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,76
DTXSID5032573,,,0.1,1.0,Pyridaben,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,155
DTXSID5022437,,,0.0998,1.0,Nordihydroguaiaretic acid,0.08429687373121221,0.0,0.0,0.0,0.0,6,0,0,0,0,798
DTXSID4021185,,,0.0991,0.5,Prednisone,-0.04868533603139659,0.0,0.0,0.03836145916129213,0.0,21,0,0,3,0,19452
DTXSID2024086,,,0.0974,0.5,Ethion,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,162
DTXSID9047540,,,0.0945,0.5,3-Hydroxyfluorene,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,53
DTXSID1040742,,,0.0939,0.5,Triamcinolone,-0.10269542440560085,0.0,0.0,0.0,0.0,2,0,0,0,0,4970
DTXSID9034997,,,0.093,0.5,Tributyltetradecylphosphonium chloride,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,21
DTXSID7047487,,,0.093,0.5,Sodium nonyl sulfate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
DTXSID3040776,,,0.0898,0.5,Morin dihydrate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,59
DTXSID1032303,,,0.0879,0.5,(Z)-11-Hexadecenal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,92
DTXSID1027479,,,0.0875,0.5,Drometrizole,0.13102118524312106,0.0,0.0,0.0,0.0,2,0,0,0,0,114
DTXSID5027061,,,0.0874,0.5,2-Naphthol,0.01335422107314642,0.0,0.0,0.0,0.0,5,0,0,0,0,1930
DTXSID7022174,,,0.0868,0.5,O-Ethyl O-(4-nitrophenyl) phenylphosphonothioate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,12
DTXSID2047357,,,0.0866,0.5,Surinabant,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,13
DTXSID0048183,,,0.0866,0.5,"(3R,4R)-3,4-bis[(3-hydroxyphenyl)methyl]oxolan-2-one",0.2568081005761557,0.30753958306668094,0.0,0.0,0.0,34,8,0,0,0,526
DTXSID9022528,very weak,,0.0864,0.5,Ethylparaben,0.16284376326321373,0.1990763709707855,0.0,0.0,0.0,11,2,0,0,0,495
DTXSID4020618,,,0.0825,0.5,Fadrozole hydrochloride,0.2225335301774199,0.0,0.0,0.0,0.0,2,0,0,0,0,26
DTXSID5041691,,,0.0822,0.5,Tebutam,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
DTXSID7029611,,,0.0732,0.5,Triethylene glycol dibenzoate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
DTXSID4020373,,,0.0728,0.5,"p,p'-DDD",0.12573931498476154,0.12428322455757085,0.0,0.0,0.0,10,1,0,0,0,760
DTXSID1020699,,,0.0687,0.5,Hexylresorcinol,0.04128597161615546,0.0,0.0,0.0,0.0,1,0,0,0,0,236
DTXSID9020374,very weak,inactive,0.0677,0.5,"p,p'-DDE",0.16567596858196912,0.1857631113373028,0.0,0.0,0.20199836768900414,49,7,0,0,1,2711
DTXSID6024460,,,0.0658,0.5,4-Aminoazobenzene,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,127
DTXSID7027756,,,0.0657,0.5,(3-Phenoxyphenyl)methanol,0.23513591687564686,0.0,0.0,0.0,0.0,3,0,0,0,0,35
DTXSID7024245,,,0.0656,0.5,Pendimethalin,-0.006630469253402642,0.14579276001977137,0.0,0.0,0.0,1,1,0,0,0,529
DTXSID5026251,,,0.0652,0.5,Triphenylphosphine,0.02334615081375232,0.0,0.0,0.0,0.0,10,0,0,0,0,3369
DTXSID8020179,,,0.0651,0.5,Diisopropanolamine,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,18
DTXSID3022405,,,0.0645,0.5,Oxybenzone,0.15629423194575465,0.1863465626840591,0.2101347104312205,0.0,0.0,31,5,1,0,0,1803
DTXSID1021952,,,0.0641,0.5,Triphenyl phosphate,0.215534831141048,0.0,0.0,0.0,0.0,36,0,0,0,0,977
DTXSID9037539,,,0.0619,0.5,beta-Endosulfan,0.12837452838107566,0.0,0.0,0.0,0.0,6,0,0,0,0,411
DTXSID6028022,,,0.0607,0.5,1-(Bromomethyl)-3-phenoxybenzene,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
DTXSID5021201,,,0.0601,0.5,Propyl gallate,0.06766894819883826,0.0,0.0,0.0,0.0,3,0,0,0,0,489
DTXSID7026285,,,0.0572,0.5,"3,4-Dimethoxybenzaldehyde",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,226
DTXSID4027608,,,0.057,0.5,Terbuthylazine,0.0514750195212316,0.16063180946484093,0.0,0.0,0.0,2,1,0,0,0,412
DTXSID4029353,,,0.0562,0.5,"1-((3R,3aR,7R,8aS)-3,6,8,8-Tetramethyl-2,3,4,7,8,8a-hexahydro-1H-3a,7-methanoazulen-5-yl)ethanone",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
DTXSID8047347,,,0.0558,0.5,"Formamide, N-((1-((2-(diethylamino)ethyl)amino)-7-methoxy-9-oxo-9H-thioxanthen-4-yl)methyl)-",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7
DTXSID8040484,,,0.0528,0.5,Forskolin,0.09913986664323303,0.08603127075628701,0.1194038885447274,0.19780262765732193,0.0,62,5,1,12,0,8313
DTXSID2032398,,,0.0521,0.5,Fludioxonil,0.04163141536679782,0.0,0.0,0.0,0.0,2,0,0,0,0,483
DTXSID5020869,,,0.0518,0.5,"4,4'-Methylenebis(N,N-dimethylaniline)",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,20
DTXSID3022370,,inactive,0.0507,0.5,Progesterone,0.5765760353921225,0.3713144587744388,0.1335097674903763,0.14019341801050625,0.0,9100,440,6,28,0,49958
DTXSID8040721,,,0.0491,0.5,4-Cyclohexylcyclohexanone,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,123
DTXSID3041247,,,0.0491,0.5,Dibenzoylmethane,0.03599494648763691,0.0,0.0,0.0,0.0,1,0,0,0,0,258
DTXSID9037745,,,0.0488,0.5,4-tert-Butylphenyl salicylate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2
DTXSID2022254,,,0.0482,0.5,Terbufos,0.1228899018461103,0.0,0.0,0.0,0.0,2,0,0,0,0,130
DTXSID5022439,,,0.0459,0.5,Phenolphthalin,0.270100096288677,0.0,0.0,0.0,0.0,1,0,0,0,0,5
DTXSID5020867,,,0.0458,0.5,"4,4'-Methylenebis(2-methylaniline)",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,38
DTXSID6023159,,,0.0454,0.5,Iopanoic acid,0.09917795051852092,0.0,0.0,0.0,0.0,1,0,0,0,0,89
DTXSID6020068,,,0.0453,0.5,2-Aminoanthraquinone,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,23
DTXSID0032316,,,0.0439,0.5,Chloroxylenol,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,244
DTXSID4047127,,,0.0437,0.5,4-tert-Pentylcyclohexanone,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
DTXSID3032337,,,0.0426,0.5,Butralin,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,81
DTXSID2022048,,,0.0423,0.5,Flavone,0.07217477543060062,0.0,0.16499171271177493,0.06669634085763852,0.23175266773141878,22,0,1,1,2,3857
DTXSID8022408,,,0.0409,0.5,Phenol red,0.19378703917419485,0.09841782018140541,0.23555362280860762,0.0,0.25163001464034324,33,1,1,0,1,1175
DTXSID0021389,,,0.0405,0.5,Trichlorfon,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,432
DTXSID2026529,,,0.0402,0.5,6-tert-Butyl-m-cresol,0.23012409339252873,0.0,0.0,0.0,0.0,2,0,0,0,0,23
DTXSID0021961,,,0.04,0.5,Benzophenone,0.0,0.0,0.17838491397881495,0.0,0.0,0,0,1,0,0,3078
DTXSID3023899,,,0.0398,0.5,Benfluralin,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,19
DTXSID7041544,,,0.0388,0.5,Tonalid,0.15052385962163603,0.0,0.0,0.0,0.0,8,0,0,0,0,410
DTXSID2025892,,,0.0386,0.5,N-Phenyl-1-naphthylamine,0.031704270426124254,0.14167459364474472,0.0,0.0,0.0,2,1,0,0,0,567
DTXSID5023902,,,0.0372,0.5,Benz(a)anthracene,0.13076172672687386,0.0,0.0,0.13590956761499925,0.0,16,0,0,1,0,1202
DTXSID1032359,,,0.0356,0.5,Cyprodinil,0.016656547521754952,0.0,0.0,0.0,0.0,2,0,0,0,0,723
DTXSID5020154,,,0.0353,0.5,2-Benzyl-4-chlorophenol,0.1477554183254138,0.0,0.0,0.0,0.0,2,0,0,0,0,87
DTXSID8037752,,,0.035,0.5,Diphenyl isophthalate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3
DTXSID8032386,,,0.0346,0.5,Ethalfluralin,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,25
DTXSID4021395,,,0.0337,0.5,Trifluralin,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,570
DTXSID0021597,,,0.0319,0.5,Heptanal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,437
DTXSID9020370,,,0.0318,0.5,Daminozide,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,140
DTXSID6020307,,,0.0306,0.5,Chloromethyl methyl ether,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,37
DTXSID4022446,,,0.0303,0.5,"2,2'-Methylenediphenol",0.24463759973535615,0.0,0.0,0.0,0.0,33,0,0,0,0,596
DTXSID1020560,,,0.0295,0.5,Endosulfan,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2106
DTXSID1021871,,,0.0293,0.5,4-Chlorophenol,-0.012773287440211516,0.0,0.0,0.0,0.0,2,0,0,0,0,1163
DTXSID8020337,SERM,,0.0293,0.5,Clomifene citrate,0.2219068293344315,0.15249935038654802,0.0,0.0,0.0,60,3,0,0,0,1676
DTXSID5024891,,,0.0289,0.5,Cytarabine hydrochloride,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,11
DTXSID1021792,,,0.0288,0.5,Salicylaldehyde,-0.05107470978302986,0.0,0.0,0.0,0.0,2,0,0,0,0,2159
DTXSID4021717,,,0.0285,0.5,4-Chloro-3-methylphenol,0.11496828877268228,0.0,0.0,0.21447378638052716,0.3288455500663992,4,0,0,1,1,320
DTXSID9022522,,,0.0283,0.5,Diisobutyl phthalate,-0.019040979632468532,0.0,0.0,0.0,0.0,1,0,0,0,0,652
DTXSID1021031,,,0.028,0.5,4-Nitroso-N-phenylaniline,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
DTXSID9022100,,,0.0275,0.5,4-Propylphenol,0.15290978450708595,0.0,0.0,0.0,0.0,1,0,0,0,0,36
DTXSID7029241,,,0.0274,0.5,"2,4-Bis(1-methyl-1-phenylethyl)phenol",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7
DTXSID0034855,,,0.0272,0.5,Fluazifop-P-butyl,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,53
DTXSID1027635,,,0.0272,0.5,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,33
DTXSID9047257,,,0.0271,0.5,Zamifenacin,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,9
DTXSID8021301,,active,0.027,0.5,Tamoxifen citrate,0.16473128277502136,0.06563842710028246,0.0,0.0,0.0,38,1,0,0,0,2041
DTXSID3038808,,,0.0268,0.5,"2,4,6,8-Tetramethyl-2,4,6,8-tetravinylcyclotetrasiloxane",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,11
DTXSID0032601,,,0.0268,0.5,Cyproconazole,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,145
DTXSID2021781,,,0.0265,0.5,Dibutyl Phthalate,0.1630865511648786,0.13765826607371068,0.0,0.0,0.0,51,4,0,0,0,2937
DTXSID1032640,,,0.0259,0.5,Pyriproxyfen,-0.032287782578171,0.12013544669500299,0.0,0.0,0.0,1,1,0,0,0,815
DTXSID7021992,,,0.0257,0.5,Sodium saccharin hydrate,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2
DTXSID3040722,,,0.0253,0.5,4-Cyclohexylcyclohexanol,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
DTXSID0022018,,,0.025,0.5,Disulfoton,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,150
DTXSID9044825,,,0.0248,0.5,3-tert-Butylphenol,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4
DTXSID1034181,,active,0.0243,0.5,Raloxifene hydrochloride,0.4026578324375062,0.1912455905614319,0.0,0.0,0.0,79,1,0,0,0,246
DTXSID3038939,,,0.024,0.5,Perfluorooctanesulfonamide,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,493
DTXSID9020407,,,0.0237,0.5,Diazinon,-0.01753721504317238,0.041018120829760106,0.0,0.0,0.0,5,1,0,0,0,3090
DTXSID9048196,,,0.0234,0.5,4-tert-Butylthiophenol,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,26
DTXSID6021793,,,0.0232,0.5,1-Naphthol,0.036425569471132284,0.0,0.0,0.0,0.0,5,0,0,0,0,1358
DTXSID9047598,,,0.0231,0.5,"Phenol, 4,4'-sulfonylbis[2-(2-propenyl)-",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,290
DTXSID6044430,,,0.0227,0.5,Deoxybenzoin,0.16014450512713246,0.0,0.0,0.0,0.0,3,0,0,0,0,114
DTXSID1020352,,,0.0224,0.5,Cupferron,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,31
DTXSID1027429,,,0.0221,0.5,Cyclododecanol,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
DTXSID1026241,,,0.0217,0.5,Homosalate,0.13436859868450948,0.0,0.0,0.0,0.0,2,0,0,0,0,108
DTXSID8047264,,,0.0212,0.5,"(3R,4S)-3-(4-(4-Fluorophenyl)-4-hydroxypiperidin-1-yl)-3,4-dihydro-2H-chromene-4,7-diol",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
DTXSID5042299,,,0.021,0.5,4-Isopropylphenol,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,40
DTXSID1041891,,,0.0207,0.5,Diphenylmethane,0.1117092683311608,0.0,0.0,0.0,0.0,9,0,0,0,0,829
